,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,C - Indústria de Transformação,6954.29,869.28,12709.97,605.23,43.62,55.98,44.97
1,Óleos combustíveis de petróleo,466.61,58.32,611.87,29.13,100.18,3.75,2.16
2,Farelos de soja e outros alimentos para animais,466.07,58.25,773.69,36.84,58.12,3.75,2.73
3,Carne bovina,405.74,50.71,727.01,34.61,46.49,3.26,2.57
4,Produtos semi-acabados de ferro e aço,365.26,45.65,648.15,30.86,47.93,2.94,2.29
5,Carnes de aves,349.15,43.64,585.61,27.88,56.5,2.81,2.07
6,Açúcares e melaços,301.42,37.67,922.64,43.93,-14.24,2.42,3.26
7,Celulose,286.62,35.82,566.21,26.96,32.88,2.3,2.0
8,Gorduras e óleos vegetais,277.56,34.69,232.07,11.05,213.94,2.23,0.82
9,Ferro-gusa e outros,197.05,24.63,375.27,17.87,37.83,1.58,1.32
10,Veículos automóveis de passageiros,194.95,24.36,278.04,13.24,84.05,1.56,0.98
11,Demais produtos,3643.81,455.47,6989.34,332.82,36.85,29.33,24.73
