,,2022,2022,2021,2021,,Part.(%) - Total Brasil,Part.(%) - Total Brasil
,,Valor,MD,Valor,MD,Var.% (MD),2022,2021
0,C - Indústria de Transformação,7934.89,991.86,16249.14,773.76,28.18,89.0,91.06
1,Adubos ou fertilizantes químicos ,1183.0,147.87,1143.64,54.45,171.53,13.26,6.4
2,Óleos combustíveis de petróleo,620.45,77.55,1052.98,50.14,54.67,6.95,5.9
3,Válvulas e tubos,393.72,49.21,603.68,28.74,71.2,4.41,3.38
4,Compostos organo-inorgânicos,277.47,34.68,591.64,28.17,23.1,3.11,3.31
5,Medicamentos e produtos farmacêuticos,242.43,30.3,650.87,30.99,-2.22,2.71,3.64
6,Partes e acessórios dos veículos automotivos,218.06,27.25,586.96,27.95,-2.48,2.44,3.28
7,Inseticidas e outros,202.39,25.29,313.39,14.92,69.52,2.27,1.75
8,Equipamentos de telecomunicações,200.06,25.0,561.74,26.74,-6.51,2.24,3.14
9,Motores e máquinas não elétricos,174.25,21.78,306.13,14.57,49.41,1.95,1.71
10,"Outros medicamentos, incluindo veterinários",149.38,18.67,386.74,18.41,1.39,1.67,2.16
11,Demais produtos,4273.64,534.2,10051.32,478.63,11.61,47.93,56.33
